Parameter,Chen2020,OKane2022,Chayambuka2022,ORegan2022,Prada2013
Ideal gas constant [J.K-1.mol-1],8.31446261815324,8.31446261815324,8.31446261815324,8.31446261815324,8.31446261815324
Faraday constant [C.mol-1],96485.33212331001,96485.33212331001,96485.33212331001,96485.33212331001,96485.33212331001
Boltzmann constant [J.K-1],1.380649e-23,1.380649e-23,1.380649e-23,1.380649e-23,1.380649e-23
Electron charge [C],1.602176634e-19,1.602176634e-19,1.602176634e-19,1.602176634e-19,1.602176634e-19
Ratio of lithium moles to SEI moles,2.0,1.0,,,
SEI partial molar volume [m3.mol-1],9.585e-05,9.585e-05,,,
SEI reaction exchange current density [A.m-2],1.5e-07,1.5e-07,,,
SEI resistivity [Ohm.m],200000.0,200000.0,,,
SEI solvent diffusivity [m2.s-1],2.5e-22,2.5e-22,,,
Bulk solvent concentration [mol.m-3],2636.0,2636.0,,,
SEI open-circuit potential [V],0.4,0.4,,,
SEI electron conductivity [S.m-1],8.95e-14,8.95e-14,,,
SEI lithium interstitial diffusivity [m2.s-1],1e-20,1e-20,,,
Lithium interstitial reference concentration [mol.m-3],15.0,15.0,,,
Initial SEI thickness [m],5e-09,5e-09,,,
EC initial concentration in electrolyte [mol.m-3],4541.0,4541.0,,,
EC diffusivity [m2.s-1],2e-18,2e-18,,,
SEI kinetic rate constant [m.s-1],1e-12,1e-12,,,
SEI growth activation energy [J.mol-1],0.0,38000.0,,,
Negative electrode reaction-driven LAM factor [m3.mol-1],0.0,0.0,,,
Positive electrode reaction-driven LAM factor [m3.mol-1],0.0,0.0,,,
Negative current collector thickness [m],1.2e-05,1.2e-05,,1.2e-05,
Negative electrode thickness [m],8.52e-05,8.52e-05,6.4e-05,8.52e-05,3.4e-05
Separator thickness [m],1.2e-05,1.2e-05,2.5e-05,1.2e-05,2.5e-05
Positive electrode thickness [m],7.56e-05,7.56e-05,6.8e-05,7.56e-05,8e-05
Positive current collector thickness [m],1.6e-05,1.6e-05,,1.6e-05,
Electrode height [m],0.065,0.065,0.000254,0.065,0.6
Electrode width [m],1.58,1.58,1.0,1.58,0.3
Cell cooling surface area [m2],0.00531,0.00531,,0.00531,
Cell volume [m3],2.42e-05,2.42e-05,,2.42e-05,
Cell thermal expansion coefficient [m.K-1],1.1e-06,1.1e-06,,,
Negative current collector conductivity [S.m-1],58411000.0,58411000.0,,58411000.0,
Positive current collector conductivity [S.m-1],36914000.0,36914000.0,,36914000.0,
Negative current collector density [kg.m-3],8960.0,8960.0,,8933.0,
Positive current collector density [kg.m-3],2700.0,2700.0,,2702.0,
Negative current collector specific heat capacity [J.kg-1.K-1],385.0,385.0,,,
Positive current collector specific heat capacity [J.kg-1.K-1],897.0,897.0,,,
Negative current collector thermal conductivity [W.m-1.K-1],401.0,401.0,,,
Positive current collector thermal conductivity [W.m-1.K-1],237.0,237.0,,237.0,
Nominal cell capacity [A.h],5.0,5.0,0.003,5.0,2.3
Current function [A],5.0,5.0,0.003,5.0,2.3
Contact resistance [Ohm],0.0,0.0,0.0,0.0,0.0
Negative electrode conductivity [S.m-1],215.0,215.0,256.0,215.0,215.0
Maximum concentration in negative electrode [mol.m-3],33133.0,33133.0,14540.0,29583.0,30555.0
Negative particle diffusivity [m2.s-1],3.3e-14,,,,3e-15
Negative electrode porosity,0.25,0.25,0.51,0.25,0.36
Negative electrode active material volume fraction,0.75,0.75,0.489,0.75,0.58
Negative particle radius [m],5.86e-06,5.86e-06,3.48e-06,5.86e-06,5e-06
Negative electrode Bruggeman coefficient (electrolyte),1.5,1.5,1.5,1.5,1.5
Negative electrode Bruggeman coefficient (electrode),0.0,1.5,0.0,0.0,1.5
Negative electrode charge transfer coefficient,0.5,0.5,0.5,0.5,0.5
Negative electrode double-layer capacity [F.m-2],0.2,0.2,,0.2,0.2
Negative electrode density [kg.m-3],1657.0,1657.0,,2060.0,
Negative electrode specific heat capacity [J.kg-1.K-1],700.0,700.0,,,
Negative electrode thermal conductivity [W.m-1.K-1],1.7,1.7,,,
Negative electrode OCP entropic change [V.K-1],0.0,0.0,0.0,,0.0
Positive electrode conductivity [S.m-1],0.18,0.18,50.0,,0.33795074
Maximum concentration in positive electrode [mol.m-3],63104.0,63104.0,15320.0,51765.0,22806.0
Positive particle diffusivity [m2.s-1],4e-15,,,,5.9e-18
Positive electrode porosity,0.335,0.335,0.23,0.335,0.426
Positive electrode active material volume fraction,0.665,0.665,0.55,0.665,0.374
Positive particle radius [m],5.22e-06,5.22e-06,5.9e-07,5.22e-06,5e-08
Positive electrode Bruggeman coefficient (electrolyte),1.5,1.5,1.5,1.5,1.5
Positive electrode Bruggeman coefficient (electrode),0.0,1.5,0.0,0.0,1.5
Positive electrode charge transfer coefficient,0.5,0.5,0.5,0.5,0.5
Positive electrode double-layer capacity [F.m-2],0.2,0.2,,0.2,0.2
Positive electrode density [kg.m-3],3262.0,3262.0,,3699.0,
Positive electrode specific heat capacity [J.kg-1.K-1],700.0,700.0,,,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,2.1,,,
Positive electrode OCP entropic change [V.K-1],0.0,0.0,0.0,,0.0
Separator porosity,0.47,0.47,0.55,0.47,0.45
Separator Bruggeman coefficient (electrolyte),1.5,1.5,1.5,1.5,1.5
Separator density [kg.m-3],397.0,397.0,,1548.0,
Separator specific heat capacity [J.kg-1.K-1],700.0,700.0,,,
Separator thermal conductivity [W.m-1.K-1],0.16,0.16,,0.3344,
Initial concentration in electrolyte [mol.m-3],1000.0,1000.0,1000.0,1000.0,1200.0
Cation transference number,0.2594,0.2594,0.45,,0.36
Thermodynamic factor,1.0,1.0,1.0,,1.0
Reference temperature [K],298.15,298.15,298.15,298.15,298.0
Total heat transfer coefficient [W.m-2.K-1],10.0,10.0,,10.0,
Ambient temperature [K],298.15,298.15,298.15,298.15,298.0
Number of electrodes connected in parallel to make a cell,1.0,1.0,1.0,1.0,1.0
Number of cells connected in series to make a battery,1.0,1.0,1.0,1.0,1.0
Lower voltage cut-off [V],2.5,2.5,2.0,2.5,2.0
Upper voltage cut-off [V],4.2,4.2,4.2,4.4,3.6
Open-circuit voltage at 0% SOC [V],2.5,2.5,2.0,2.5,2.0
Open-circuit voltage at 100% SOC [V],4.2,4.2,4.2,4.4,3.6
Initial concentration in negative electrode [mol.m-3],29866.0,29866.0,13520.0,28866.0,24749.550000000003
Initial concentration in positive electrode [mol.m-3],17038.0,17038.0,3320.0,13975.0,86.6628
Initial temperature [K],298.15,298.15,298.15,298.15,298.0
Lithium metal partial molar volume [m3.mol-1],,1.3e-05,,,
Lithium plating kinetic rate constant [m.s-1],,1e-09,,,
Initial plated lithium concentration [mol.m-3],,0.0,,,
Typical plated lithium concentration [mol.m-3],,1000.0,,,
Lithium plating transfer coefficient,,0.65,,,
Dead lithium decay constant [s-1],,1e-06,,,
Initial SEI on cracks thickness [m],,5e-13,,,
Negative electrode Poisson's ratio,,0.3,,,
Negative electrode Young's modulus [Pa],,15000000000.0,,,
Negative electrode reference concentration for free of deformation [mol.m-3],,0.0,,,
Negative electrode partial molar volume [m3.mol-1],,3.1e-06,,,
Negative electrode initial crack length [m],,2e-08,,,
Negative electrode initial crack width [m],,1.5e-08,,,
Negative electrode number of cracks per unit area [m-2],,3180000000000000.0,,,
Negative electrode Paris' law constant b,,1.12,,,
Negative electrode Paris' law constant m,,2.2,,,
Negative electrode LAM constant proportional term [s-1],,2.7778e-07,,,
Negative electrode LAM constant exponential term,,2.0,,,
Negative electrode critical stress [Pa],,60000000.0,,,
Positive electrode Poisson's ratio,,0.2,,,
Positive electrode Young's modulus [Pa],,375000000000.0,,,
Positive electrode reference concentration for free of deformation [mol.m-3],,0.0,,,
Positive electrode partial molar volume [m3.mol-1],,1.25e-05,,,
Positive electrode initial crack length [m],,2e-08,,,
